R,t,algo
0.306505,0.135808,p35p
28.061748,3.030897,p35p
0.329475,0.124154,p35p
23.616884,2.345316,p35p
5.232281,0.916684,p35p
0.182152,0.085494,p35p
0.193940,0.090050,p35p
0.144363,0.090496,p35p
0.093619,0.105957,p35p
0.073489,0.134431,p35p
0.076242,0.165504,p35p
0.092509,0.099396,p35p
0.043105,0.094551,p35p
0.040092,0.100360,p35p
0.081840,0.110495,p35p
0.198681,0.110768,p35p
0.217203,0.099371,p35p
0.274739,0.098398,p35p
0.211349,0.057262,p35p
0.209431,0.051249,p35p
0.211980,0.085150,p35p
0.210325,0.030941,p35p
0.100923,0.088513,p35p
0.152442,0.084906,p35p
0.139492,0.078797,p35p
0.114214,0.092161,p35p
0.128387,0.066959,p35p
0.124438,0.047560,p35p
0.139663,0.031738,p35p
0.100629,0.032524,p35p
0.090070,0.055610,p35p
0.299185,0.135530,p4p
28.069675,3.031403,p4p
0.322674,0.123778,p4p
23.608435,2.344850,p4p
5.224322,0.916131,p4p
0.172362,0.085119,p4p
0.184663,0.090382,p4p
0.139737,0.090602,p4p
0.083184,0.106266,p4p
0.085644,0.135069,p4p
0.070910,0.166335,p4p
0.111720,0.099841,p4p
0.099402,0.094943,p4p
0.070834,0.100798,p4p
0.126523,0.111806,p4p
0.203846,0.109753,p4p
0.211374,0.096200,p4p
0.256077,0.095948,p4p
0.196394,0.055884,p4p
0.226508,0.050920,p4p
0.179063,0.085608,p4p
0.179338,0.030073,p4p
0.128741,0.087355,p4p
0.156328,0.084340,p4p
0.131926,0.079453,p4p
0.106409,0.093184,p4p
0.145785,0.067370,p4p
0.072534,0.047750,p4p
0.146189,0.031841,p4p
0.127512,0.032434,p4p
0.122719,0.055230,p4p
0.302594,0.135721,real
28.067422,3.032055,real
0.326350,0.123615,real
23.612540,2.344459,real
5.226875,0.915816,real
0.173510,0.084922,real
0.185834,0.090060,real
0.139961,0.090994,real
0.082709,0.106529,real
0.080991,0.135379,real
0.066091,0.166176,real
0.112884,0.100515,real
0.074468,0.094732,real
0.004132,0.100343,real
0.127865,0.110034,real
0.163050,0.108742,real
0.139948,0.098211,real
0.236375,0.096352,real
0.230655,0.056888,real
0.219878,0.052039,real
0.210856,0.086334,real
0.238952,0.031389,real
0.145254,0.088387,real
0.179804,0.084486,real
0.119294,0.078653,real
0.081089,0.091854,real
0.106359,0.066725,real
0.068806,0.047209,real
0.087635,0.031438,real
0.099348,0.031765,real
0.150629,0.054797,real
