R,t,algo
0.005288,0.135982,p35p
0.489823,3.030824,p35p
0.005706,0.124477,p35p
0.412128,2.345713,p35p
0.091264,0.916856,p35p
0.003102,0.085380,p35p
0.003308,0.090041,p35p
0.002495,0.090446,p35p
0.001532,0.106008,p35p
0.001253,0.134871,p35p
0.001143,0.165666,p35p
0.001981,0.099585,p35p
0.000000,0.094732,p35p
0.001884,0.101057,p35p
0.002149,0.111488,p35p
0.003110,0.109843,p35p
0.002658,0.096966,p35p
0.003990,0.096627,p35p
0.004309,0.056636,p35p
0.003878,0.050456,p35p
0.002635,0.084563,p35p
0.003861,0.030277,p35p
0.002032,0.088179,p35p
0.002617,0.085124,p35p
0.001477,0.080055,p35p
0.001831,0.093109,p35p
0.002441,0.067799,p35p
0.001137,0.048189,p35p
0.002506,0.032018,p35p
0.001958,0.032412,p35p
0.001984,0.054909,p35p
0.005284,0.136490,p4p
0.489838,3.031284,p4p
0.005695,0.124524,p4p
0.412108,2.345629,p4p
0.091250,0.916816,p4p
0.003083,0.084453,p4p
0.003302,0.089688,p4p
0.002483,0.090298,p4p
0.001373,0.105974,p4p
0.001548,0.134961,p4p
0.000976,0.165406,p4p
0.001756,0.099191,p4p
0.001063,0.094609,p4p
0.001043,0.101074,p4p
0.000656,0.111575,p4p
0.002494,0.109846,p4p
0.002130,0.097016,p4p
0.004235,0.096663,p4p
0.003738,0.056754,p4p
0.004041,0.050420,p4p
0.003132,0.084423,p4p
0.004084,0.030361,p4p
0.002112,0.088343,p4p
0.002838,0.085148,p4p
0.002433,0.080154,p4p
0.001566,0.093174,p4p
0.002404,0.067859,p4p
0.002912,0.048219,p4p
0.002691,0.032088,p4p
0.000381,0.032461,p4p
0.001616,0.055066,p4p
0.005281,0.135659,real
0.489868,3.032059,real
0.005680,0.123545,real
0.412123,2.344506,real
0.091230,0.915840,real
0.003016,0.085026,real
0.003243,0.089930,real
0.002358,0.090972,real
0.001452,0.106516,real
0.001300,0.135357,real
0.001747,0.166155,real
0.001571,0.100517,real
0.001319,0.094720,real
0.000627,0.100343,real
0.002182,0.110040,real
0.002913,0.108759,real
0.002741,0.098240,real
0.004671,0.096376,real
0.004025,0.056914,real
0.004328,0.052031,real
0.003576,0.086307,real
0.003731,0.031401,real
0.001986,0.088460,real
0.003027,0.084542,real
0.001814,0.078650,real
0.002431,0.091856,real
0.002907,0.066722,real
0.001446,0.047199,real
0.001799,0.031417,real
0.001745,0.031756,real
0.001692,0.054808,real
