R,t,algo
0.302957,0.135982,p35p
28.064801,3.030824,p35p
0.326948,0.124477,p35p
23.613204,2.345713,p35p
5.229033,0.916856,p35p
0.177749,0.085380,p35p
0.189543,0.090041,p35p
0.142948,0.090446,p35p
0.087760,0.106008,p35p
0.071786,0.134871,p35p
0.065503,0.165666,p35p
0.113510,0.099585,p35p
0.058885,0.094732,p35p
0.107919,0.101057,p35p
0.123131,0.111488,p35p
0.178187,0.109843,p35p
0.152274,0.096966,p35p
0.228621,0.096627,p35p
0.246911,0.056636,p35p
0.222185,0.050456,p35p
0.150952,0.084563,p35p
0.221244,0.030277,p35p
0.116417,0.088179,p35p
0.149932,0.085124,p35p
0.084602,0.080055,p35p
0.104918,0.093109,p35p
0.139862,0.067799,p35p
0.065156,0.048189,p35p
0.143601,0.032018,p35p
0.112165,0.032412,p35p
0.113701,0.054909,p35p
0.302751,0.136490,p4p
28.065675,3.031284,p4p
0.326297,0.124524,p4p
23.612045,2.345629,p4p
5.228263,0.916816,p4p
0.176653,0.084453,p4p
0.189167,0.089688,p4p
0.142282,0.090298,p4p
0.078665,0.105974,p4p
0.088685,0.134961,p4p
0.055942,0.165406,p4p
0.100636,0.099191,p4p
0.060905,0.094609,p4p
0.059744,0.101074,p4p
0.037605,0.111575,p4p
0.142877,0.109846,p4p
0.122020,0.097016,p4p
0.242622,0.096663,p4p
0.214175,0.056754,p4p
0.231527,0.050420,p4p
0.179424,0.084423,p4p
0.234014,0.030361,p4p
0.120989,0.088343,p4p
0.162625,0.085148,p4p
0.139381,0.080154,p4p
0.089727,0.093174,p4p
0.137717,0.067859,p4p
0.166819,0.048219,p4p
0.154188,0.032088,p4p
0.021820,0.032461,p4p
0.092586,0.055066,p4p
0.302593,0.135659,real
28.067341,3.032059,real
0.325419,0.123545,real
23.612904,2.344506,real
5.227092,0.915840,real
0.172815,0.085026,real
0.185803,0.089930,real
0.135087,0.090972,real
0.083179,0.106516,real
0.074475,0.135357,real
0.100088,0.166155,real
0.090020,0.100517,real
0.075579,0.094720,real
0.035943,0.100343,real
0.125020,0.110040,real
0.166926,0.108759,real
0.157075,0.098240,real
0.267610,0.096376,real
0.230593,0.056914,real
0.247986,0.052031,real
0.204890,0.086307,real
0.213769,0.031401,real
0.113804,0.088460,real
0.173434,0.084542,real
0.103940,0.078650,real
0.139301,0.091856,real
0.166563,0.066722,real
0.082833,0.047199,real
0.103079,0.031417,real
0.099983,0.031756,real
0.096966,0.054808,real
