R,t,algo
0.201476,0.067542,p35p
21.789208,2.328511,p35p
10.807044,0.969736,p35p
6.853314,0.676598,p35p
4.710703,0.756038,p35p
0.087231,0.044434,p35p
0.104145,0.051113,p35p
0.084543,0.060990,p35p
0.128151,0.068859,p35p
0.102525,0.063674,p35p
0.170823,0.075791,p35p
0.223807,0.083991,p35p
0.202806,0.089512,p35p
0.204318,0.074158,p35p
0.172132,0.055314,p35p
0.181374,0.045202,p35p
0.213736,0.045544,p35p
0.195197,0.049561,p35p
0.192251,0.039197,p35p
0.100054,0.044379,p35p
0.083341,0.049699,p35p
0.165086,0.049528,p35p
0.105881,0.040715,p35p
0.129660,0.030401,p35p
0.093738,0.021509,p35p
0.034403,0.043713,p35p
0.115589,0.042120,p35p
0.096692,0.042087,p35p
0.114576,0.025663,p35p
0.177826,0.028765,p35p
0.174661,0.033950,p35p
0.189715,0.067491,p4p
21.803504,2.329368,p4p
10.797811,0.969517,p4p
6.842943,0.676319,p4p
4.700200,0.755617,p4p
0.079635,0.044885,p4p
0.102078,0.051583,p4p
0.091672,0.061376,p4p
0.138339,0.069139,p4p
0.119634,0.064116,p4p
0.168096,0.075877,p4p
0.210834,0.083924,p4p
0.208941,0.089909,p4p
0.194943,0.074232,p4p
0.165439,0.055171,p4p
0.169800,0.045031,p4p
0.225494,0.045305,p4p
0.192906,0.049444,p4p
0.149830,0.035355,p4p
0.075809,0.046945,p4p
0.066774,0.047859,p4p
0.085783,0.046537,p4p
0.035834,0.039369,p4p
0.040012,0.030977,p4p
0.115267,0.021419,p4p
0.101162,0.042982,p4p
0.112102,0.041410,p4p
0.108393,0.042544,p4p
0.116608,0.026050,p4p
0.177704,0.027801,p4p
0.174891,0.032916,p4p
0.193424,0.067486,real
21.804892,2.329469,real
10.797235,0.969453,real
6.841898,0.676230,real
4.699078,0.755518,real
0.079010,0.044945,real
0.102427,0.051684,real
0.092875,0.061502,real
0.140038,0.069296,real
0.121906,0.064153,real
0.177160,0.075858,real
0.224132,0.083929,real
0.223306,0.089926,real
0.149457,0.074244,real
0.165600,0.055090,real
0.186999,0.044946,real
0.237930,0.045177,real
0.208933,0.049390,real
0.136462,0.035566,real
0.088221,0.046954,real
0.096181,0.047796,real
0.094228,0.046416,real
0.108086,0.039302,real
0.042909,0.030904,real
0.105038,0.021520,real
0.047544,0.043353,real
0.128295,0.041232,real
0.124410,0.042272,real
0.106759,0.025998,real
0.166097,0.027300,real
0.179671,0.032498,real
