R,t,algo
0.003516,0.067542,p35p
0.380293,2.328511,p35p
0.188618,0.969736,p35p
0.119613,0.676598,p35p
0.082217,0.756038,p35p
0.001522,0.044434,p35p
0.001818,0.051113,p35p
0.001476,0.060990,p35p
0.002237,0.068859,p35p
0.001789,0.063674,p35p
0.002981,0.075791,p35p
0.003906,0.083991,p35p
0.003540,0.089512,p35p
0.003566,0.074158,p35p
0.003004,0.055314,p35p
0.003166,0.045202,p35p
0.003730,0.045544,p35p
0.003407,0.049561,p35p
0.003355,0.039197,p35p
0.001746,0.044379,p35p
0.001455,0.049699,p35p
0.002881,0.049528,p35p
0.001848,0.040715,p35p
0.002263,0.030401,p35p
0.001636,0.021509,p35p
0.000600,0.043713,p35p
0.002017,0.042120,p35p
0.001688,0.042087,p35p
0.002000,0.025663,p35p
0.003104,0.028765,p35p
0.003048,0.033950,p35p
0.003311,0.067491,p4p
0.380543,2.329368,p4p
0.188457,0.969517,p4p
0.119432,0.676319,p4p
0.082034,0.755617,p4p
0.001390,0.044885,p4p
0.001782,0.051583,p4p
0.001600,0.061376,p4p
0.002414,0.069139,p4p
0.002088,0.064116,p4p
0.002934,0.075877,p4p
0.003680,0.083924,p4p
0.003647,0.089909,p4p
0.003402,0.074232,p4p
0.002887,0.055171,p4p
0.002964,0.045031,p4p
0.003936,0.045305,p4p
0.003367,0.049444,p4p
0.002615,0.035355,p4p
0.001323,0.046945,p4p
0.001165,0.047859,p4p
0.001497,0.046537,p4p
0.000625,0.039369,p4p
0.000698,0.030977,p4p
0.002012,0.021419,p4p
0.001766,0.042982,p4p
0.001957,0.041410,p4p
0.001892,0.042544,p4p
0.002035,0.026050,p4p
0.003102,0.027801,p4p
0.003052,0.032916,p4p
0.003376,0.067486,real
0.380567,2.329469,real
0.188447,0.969453,real
0.119414,0.676230,real
0.082014,0.755518,real
0.001379,0.044945,real
0.001788,0.051684,real
0.001621,0.061502,real
0.002444,0.069296,real
0.002128,0.064153,real
0.003092,0.075858,real
0.003912,0.083929,real
0.003897,0.089926,real
0.002609,0.074244,real
0.002890,0.055090,real
0.003264,0.044946,real
0.004153,0.045177,real
0.003647,0.049390,real
0.002382,0.035566,real
0.001540,0.046954,real
0.001679,0.047796,real
0.001645,0.046416,real
0.001886,0.039302,real
0.000749,0.030904,real
0.001833,0.021520,real
0.000830,0.043353,real
0.002239,0.041232,real
0.002171,0.042272,real
0.001863,0.025998,real
0.002899,0.027300,real
0.003136,0.032498,real
