f,algo
0.008198,p35p
0.008826,p35p
0.009155,p35p
0.009876,p35p
0.008732,p35p
0.008278,p35p
0.008738,p35p
0.009707,p35p
0.010277,p35p
0.009492,p35p
0.008054,p35p
0.008129,p35p
0.008075,p35p
0.008043,p35p
0.006717,p35p
0.005961,p35p
0.005879,p35p
0.004876,p35p
0.004599,p35p
0.003249,p35p
0.003187,p35p
0.003293,p35p
0.003546,p35p
0.003707,p35p
0.003791,p35p
0.005552,p35p
0.005148,p35p
0.006766,p35p
0.006038,p35p
0.005366,p35p
0.004725,p35p
0.008262,p4p
0.009477,p4p
0.009255,p4p
0.010057,p4p
0.009192,p4p
0.008562,p4p
0.009041,p4p
0.010045,p4p
0.010644,p4p
0.009924,p4p
0.008136,p4p
0.008161,p4p
0.008132,p4p
0.008012,p4p
0.006681,p4p
0.005946,p4p
0.005927,p4p
0.004905,p4p
0.003196,p4p
0.002848,p4p
0.002930,p4p
0.003272,p4p
0.003329,p4p
0.003611,p4p
0.003034,p4p
0.005565,p4p
0.004852,p4p
0.006265,p4p
0.005662,p4p
0.005157,p4p
0.004653,p4p
0.008286,real
0.009499,real
0.009267,real
0.010073,real
0.009231,real
0.008590,real
0.009084,real
0.010095,real
0.010709,real
0.009962,real
0.008149,real
0.008177,real
0.008144,real
0.008018,real
0.006671,real
0.005939,real
0.005911,real
0.004909,real
0.003231,real
0.002854,real
0.002908,real
0.003262,real
0.003310,real
0.003555,real
0.003034,real
0.005644,real
0.004843,real
0.006296,real
0.005681,real
0.005173,real
0.004652,real
