R,t,algo
0.203063,0.067889,p35p
21.783446,2.328470,p35p
10.812370,0.970084,p35p
6.858936,0.676799,p35p
4.716270,0.756179,p35p
0.089927,0.044389,p35p
0.105053,0.051197,p35p
0.082685,0.061226,p35p
0.124755,0.069221,p35p
0.097903,0.064190,p35p
0.176720,0.076263,p35p
0.218588,0.084646,p35p
0.213164,0.090298,p35p
0.174146,0.075104,p35p
0.187045,0.056137,p35p
0.190493,0.045860,p35p
0.209720,0.046180,p35p
0.201893,0.050067,p35p
0.146356,0.038851,p35p
0.092868,0.043311,p35p
0.155233,0.047369,p35p
0.172304,0.048802,p35p
0.143115,0.040033,p35p
0.113261,0.030385,p35p
0.096084,0.021897,p35p
0.039195,0.044019,p35p
0.101087,0.042428,p35p
0.110364,0.042618,p35p
0.111631,0.025989,p35p
0.182839,0.029412,p35p
0.143222,0.033752,p35p
0.189715,0.067491,p4p
21.803504,2.329368,p4p
10.797811,0.969517,p4p
6.842943,0.676319,p4p
4.700200,0.755617,p4p
0.079635,0.044885,p4p
0.102078,0.051583,p4p
0.091672,0.061376,p4p
0.138339,0.069139,p4p
0.119634,0.064116,p4p
0.168096,0.075877,p4p
0.210834,0.083924,p4p
0.208941,0.089909,p4p
0.194943,0.074232,p4p
0.165439,0.055171,p4p
0.169800,0.045031,p4p
0.225494,0.045305,p4p
0.192906,0.049444,p4p
0.149830,0.035355,p4p
0.075809,0.046945,p4p
0.066774,0.047859,p4p
0.085783,0.046537,p4p
0.035834,0.039369,p4p
0.040012,0.030977,p4p
0.115267,0.021419,p4p
0.101162,0.042982,p4p
0.112102,0.041410,p4p
0.108393,0.042544,p4p
0.116608,0.026050,p4p
0.177704,0.027801,p4p
0.174891,0.032916,p4p
0.193424,0.067486,real
21.804892,2.329469,real
10.797235,0.969453,real
6.841898,0.676230,real
4.699078,0.755518,real
0.079010,0.044945,real
0.102427,0.051684,real
0.092875,0.061502,real
0.140038,0.069296,real
0.121906,0.064153,real
0.177160,0.075858,real
0.224132,0.083929,real
0.223306,0.089926,real
0.149457,0.074244,real
0.165600,0.055090,real
0.186999,0.044946,real
0.237930,0.045177,real
0.208933,0.049390,real
0.136462,0.035566,real
0.088221,0.046954,real
0.096181,0.047796,real
0.094228,0.046416,real
0.108086,0.039302,real
0.042909,0.030904,real
0.105038,0.021520,real
0.047544,0.043353,real
0.128295,0.041232,real
0.124410,0.042272,real
0.106759,0.025998,real
0.166097,0.027300,real
0.179671,0.032498,real
