f,algo
0.008183,p35p
0.008795,p35p
0.009138,p35p
0.009854,p35p
0.008710,p35p
0.008250,p35p
0.008710,p35p
0.009675,p35p
0.010240,p35p
0.009452,p35p
0.008040,p35p
0.008120,p35p
0.008073,p35p
0.008054,p35p
0.006726,p35p
0.005962,p35p
0.005864,p35p
0.004854,p35p
0.004444,p35p
0.003297,p35p
0.003474,p35p
0.003214,p35p
0.003154,p35p
0.003553,p35p
0.003681,p35p
0.005536,p35p
0.005208,p35p
0.006857,p35p
0.006083,p35p
0.005350,p35p
0.004700,p35p
0.008262,p4p
0.009477,p4p
0.009255,p4p
0.010057,p4p
0.009192,p4p
0.008562,p4p
0.009041,p4p
0.010045,p4p
0.010644,p4p
0.009924,p4p
0.008136,p4p
0.008161,p4p
0.008132,p4p
0.008012,p4p
0.006681,p4p
0.005946,p4p
0.005927,p4p
0.004905,p4p
0.003196,p4p
0.002848,p4p
0.002930,p4p
0.003272,p4p
0.003329,p4p
0.003611,p4p
0.003034,p4p
0.005565,p4p
0.004852,p4p
0.006265,p4p
0.005662,p4p
0.005157,p4p
0.004653,p4p
0.008286,real
0.009499,real
0.009267,real
0.010073,real
0.009231,real
0.008590,real
0.009084,real
0.010095,real
0.010709,real
0.009962,real
0.008149,real
0.008177,real
0.008144,real
0.008018,real
0.006671,real
0.005939,real
0.005911,real
0.004909,real
0.003231,real
0.002854,real
0.002908,real
0.003262,real
0.003310,real
0.003555,real
0.003034,real
0.005644,real
0.004843,real
0.006296,real
0.005681,real
0.005173,real
0.004652,real
