R,t,algo
0.003450,0.067500,p35p
0.380566,2.329448,p35p
0.188449,0.969488,p35p
0.119418,0.676276,p35p
0.082018,0.755549,p35p
0.001375,0.045028,p35p
0.001787,0.051733,p35p
0.001616,0.061494,p35p
0.002441,0.069337,p35p
0.002149,0.064194,p35p
0.003031,0.075883,p35p
0.003708,0.083923,p35p
0.003719,0.089886,p35p
0.002870,0.074175,p35p
0.003332,0.055078,p35p
0.003503,0.044853,p35p
0.003452,0.045246,p35p
0.003931,0.049427,p35p
0.002810,0.035582,p35p
0.001176,0.046984,p35p
0.000000,0.047874,p35p
0.002128,0.046502,p35p
0.000000,0.039359,p35p
0.002288,0.030983,p35p
0.000825,0.021459,p35p
0.000826,0.042949,p35p
0.002164,0.041372,p35p
0.001340,0.042307,p35p
0.000412,0.026021,p35p
0.003061,0.027308,p35p
0.003158,0.032447,p35p
0.003387,0.067501,p4p
0.380567,2.329457,p4p
0.188449,0.969494,p4p
0.119416,0.676262,p4p
0.082016,0.755541,p4p
0.001377,0.045031,p4p
0.001787,0.051704,p4p
0.001629,0.061511,p4p
0.002449,0.069337,p4p
0.002148,0.064195,p4p
0.002944,0.075873,p4p
0.003766,0.083922,p4p
0.003753,0.089881,p4p
0.002926,0.074159,p4p
0.003877,0.055053,p4p
0.003064,0.044895,p4p
0.003209,0.045219,p4p
0.003846,0.049423,p4p
0.001405,0.035576,p4p
0.001862,0.046999,p4p
0.001685,0.047903,p4p
0.002280,0.046483,p4p
0.000000,0.039362,p4p
0.001792,0.031007,p4p
0.000000,0.021456,p4p
0.001306,0.042929,p4p
0.002333,0.041364,p4p
0.000775,0.042302,p4p
0.001979,0.026021,p4p
0.003012,0.027319,p4p
0.003028,0.032436,p4p
0.003402,0.067446,real
0.380566,2.329464,real
0.188448,0.969476,real
0.119414,0.676243,real
0.082015,0.755537,real
0.001379,0.044941,real
0.001787,0.051670,real
0.001620,0.061478,real
0.002447,0.069301,real
0.002141,0.064172,real
0.003073,0.075851,real
0.003647,0.083926,real
0.003608,0.089919,real
0.002854,0.074236,real
0.003161,0.055089,real
0.003593,0.044996,real
0.003791,0.045179,real
0.003804,0.049396,real
0.003146,0.035574,real
0.001948,0.046975,real
0.000749,0.047815,real
0.001802,0.046438,real
0.000000,0.039322,real
0.001607,0.030918,real
0.000000,0.021521,real
0.001776,0.043316,real
0.001900,0.041237,real
0.001738,0.042271,real
0.002287,0.025993,real
0.003456,0.027303,real
0.003262,0.032510,real
