f,algo
0.008286,p35p
0.009513,p35p
0.009280,p35p
0.010084,p35p
0.009237,p35p
0.008605,p35p
0.009094,p35p
0.010095,p35p
0.010720,p35p
0.009982,p35p
0.008157,p35p
0.008177,p35p
0.008145,p35p
0.008007,p35p
0.006669,p35p
0.005920,p35p
0.005918,p35p
0.004920,p35p
0.003227,p35p
0.002830,p35p
0.002906,p35p
0.003268,p35p
0.003315,p35p
0.003586,p35p
0.003015,p35p
0.005564,p35p
0.004814,p35p
0.006262,p35p
0.005656,p35p
0.005158,p35p
0.004644,p35p
0.008287,p4p
0.009517,p4p
0.009287,p4p
0.010084,p4p
0.009243,p4p
0.008606,p4p
0.009089,p4p
0.010103,p4p
0.010725,p4p
0.009987,p4p
0.008158,p4p
0.008180,p4p
0.008148,p4p
0.008006,p4p
0.006668,p4p
0.005925,p4p
0.005911,p4p
0.004920,p4p
0.003231,p4p
0.002842,p4p
0.002890,p4p
0.003247,p4p
0.003293,p4p
0.003533,p4p
0.003082,p4p
0.005561,p4p
0.004808,p4p
0.006258,p4p
0.005652,p4p
0.005152,p4p
0.004637,p4p
0.008286,real
0.009499,real
0.009267,real
0.010073,real
0.009231,real
0.008590,real
0.009084,real
0.010095,real
0.010709,real
0.009962,real
0.008149,real
0.008177,real
0.008144,real
0.008018,real
0.006671,real
0.005939,real
0.005911,real
0.004909,real
0.003231,real
0.002854,real
0.002908,real
0.003262,real
0.003310,real
0.003555,real
0.003034,real
0.005644,real
0.004843,real
0.006296,real
0.005681,real
0.005173,real
0.004652,real
