R,t,algo
0.197656,0.067500,p35p
21.804849,2.329448,p35p
10.797335,0.969488,p35p
6.842159,0.676276,p35p
4.699309,0.755549,p35p
0.078773,0.045028,p35p
0.102369,0.051733,p35p
0.092607,0.061494,p35p
0.139837,0.069337,p35p
0.123101,0.064194,p35p
0.173672,0.075883,p35p
0.212440,0.083923,p35p
0.213091,0.089886,p35p
0.164441,0.074175,p35p
0.190883,0.055078,p35p
0.200710,0.044853,p35p
0.197776,0.045246,p35p
0.225255,0.049427,p35p
0.160981,0.035582,p35p
0.067392,0.046984,p35p
0.080988,0.047874,p35p
0.121928,0.046502,p35p
0.094490,0.039359,p35p
0.131064,0.030983,p35p
0.047267,0.021459,p35p
0.047308,0.042949,p35p
0.123990,0.041372,p35p
0.076789,0.042307,p35p
0.023612,0.026021,p35p
0.175365,0.027308,p35p
0.180946,0.032447,p35p
0.194051,0.067501,p4p
21.804902,2.329457,p4p
10.797349,0.969494,p4p
6.842010,0.676262,p4p
4.699195,0.755541,p4p
0.078917,0.045031,p4p
0.102391,0.051704,p4p
0.093329,0.061511,p4p
0.140301,0.069337,p4p
0.123057,0.064195,p4p
0.168659,0.075873,p4p
0.215779,0.083922,p4p
0.215010,0.089881,p4p
0.167675,0.074159,p4p
0.222115,0.055053,p4p
0.175526,0.044895,p4p
0.183852,0.045219,p4p
0.220384,0.049423,p4p
0.080516,0.035576,p4p
0.106675,0.046999,p4p
0.096557,0.047903,p4p
0.130653,0.046483,p4p
0.068010,0.039362,p4p
0.102657,0.031007,p4p
0.091813,0.021456,p4p
0.074802,0.042929,p4p
0.133651,0.041364,p4p
0.044411,0.042302,p4p
0.113386,0.026021,p4p
0.172591,0.027319,p4p
0.173477,0.032436,p4p
0.194939,0.067446,real
21.804822,2.329464,real
10.797302,0.969476,real
6.841917,0.676243,real
4.699133,0.755537,real
0.078997,0.044941,real
0.102371,0.051670,real
0.092837,0.061478,real
0.140184,0.069301,real
0.122669,0.064172,real
0.176044,0.075851,real
0.208945,0.083926,real
0.206734,0.089919,real
0.163509,0.074236,real
0.181103,0.055089,real
0.205856,0.044996,real
0.217221,0.045179,real
0.217925,0.049396,real
0.180274,0.035574,real
0.111638,0.046975,real
0.042921,0.047815,real
0.103252,0.046438,real
0.072753,0.039322,real
0.092047,0.030918,real
0.106103,0.021521,real
0.101775,0.043316,real
0.108849,0.041237,real
0.099568,0.042271,real
0.131035,0.025993,real
0.198006,0.027303,real
0.186887,0.032510,real
