R,t,algo
0.000821,0.019396,real
0.000702,0.016060,real
0.000636,0.013726,real
0.000588,0.012006,real
0.000558,0.010144,real
0.000546,0.008698,real
0.000552,0.007794,real
0.001052,0.009172,real
0.001188,0.010477,real
0.001233,0.011109,real
0.000466,0.013607,real
0.000520,0.007284,real
0.001021,0.048790,real
0.000784,0.042834,real
0.001248,0.037769,real
0.001447,0.040594,real
0.001581,0.032467,real
0.001777,0.026589,real
0.001811,0.024024,real
0.001791,0.022475,real
0.002140,0.042381,real
0.002349,0.061891,real
0.002734,0.103462,real
0.000690,0.022572,real
0.000792,0.019902,real
0.001237,0.081619,real
0.000401,0.035191,real
0.000444,0.031995,real
0.000430,0.015646,real
0.000385,0.022854,real
0.000237,0.024576,real
0.000496,0.037771,real
0.000680,0.031671,real
0.000472,0.021755,real
0.000676,0.074671,real
0.000867,0.076677,real
0.001105,0.088790,real
0.000214,0.071063,real
0.004829,1.245891,p35p
0.004916,1.191697,p35p
0.004966,1.150906,p35p
0.005000,1.110529,p35p
0.005034,1.063355,p35p
0.005029,1.025944,p35p
0.005021,0.991762,p35p
0.005176,0.927593,p35p
0.005084,0.886138,p35p
0.005139,0.846092,p35p
0.005131,0.794503,p35p
0.005757,0.756205,p35p
0.004772,0.709875,p35p
0.005214,0.723369,p35p
0.006762,0.728749,p35p
0.007091,0.773781,p35p
0.007352,0.786747,p35p
0.007554,0.849573,p35p
0.007647,0.919521,p35p
0.007733,1.001746,p35p
0.009279,1.192493,p35p
0.208841,37.322311,p35p
0.004948,1.172741,p35p
0.005251,1.217865,p35p
0.004808,1.265299,p35p
0.004519,1.245393,p35p
0.005196,1.099711,p35p
0.005157,0.961343,p35p
0.005751,0.852399,p35p
0.005683,0.906868,p35p
0.005828,0.926465,p35p
0.005196,1.098181,p35p
0.005148,1.267029,p35p
0.005910,1.335876,p35p
0.005393,1.315076,p35p
0.005570,1.336655,p35p
0.005546,1.365097,p35p
0.005496,1.509133,p35p
0.003928,0.164432,p4p
0.003859,0.162774,p4p
0.003803,0.161730,p4p
0.003753,0.160343,p4p
0.003694,0.159416,p4p
0.003669,0.159179,p4p
0.003658,0.158701,p4p
0.003792,0.163428,p4p
0.003888,0.160439,p4p
0.003890,0.158068,p4p
0.003486,0.146175,p4p
0.002809,0.140324,p4p
0.003823,0.174410,p4p
0.003597,0.146728,p4p
0.001907,0.159456,p4p
0.001586,0.148985,p4p
0.001274,0.151304,p4p
0.000945,0.133663,p4p
0.000741,0.114748,p4p
0.000488,0.085825,p4p
0.041613,1.814082,p4p
0.071803,3.002488,p4p
0.003810,0.210961,p4p
0.003774,0.172083,p4p
0.004002,0.164339,p4p
0.004428,0.048168,p4p
0.003520,0.083058,p4p
0.003597,0.074021,p4p
0.002920,0.094634,p4p
0.003072,0.092047,p4p
0.003221,0.101601,p4p
0.003600,0.064870,p4p
0.003514,0.122901,p4p
0.002737,0.166524,p4p
0.003612,0.209968,p4p
0.003561,0.204204,p4p
0.003522,0.195855,p4p
0.003239,0.079848,p4p
