f,algo
0.000609,real
0.000532,real
0.000507,real
0.000428,real
0.000433,real
0.000656,real
0.000807,real
0.001996,real
0.002984,real
0.002676,real
0.000543,real
0.004104,real
0.003133,real
0.002288,real
0.001471,real
0.001979,real
0.001170,real
0.001119,real
0.000924,real
0.000861,real
0.001417,real
0.003259,real
0.004785,real
0.001864,real
0.000999,real
0.001981,real
0.000670,real
0.000688,real
0.000829,real
0.000839,real
0.001260,real
0.000864,real
0.001567,real
0.001707,real
0.001383,real
0.001535,real
0.002766,real
0.001379,real
0.000550,p35p
0.000515,p35p
0.000546,p35p
0.000383,p35p
0.000392,p35p
0.000612,p35p
0.000761,p35p
0.002114,p35p
0.003212,p35p
0.002909,p35p
0.000577,p35p
0.004158,p35p
0.002965,p35p
0.002441,p35p
0.001476,p35p
0.001498,p35p
0.000752,p35p
0.000449,p35p
0.001115,p35p
0.001547,p35p
0.003477,p35p
2.649894,p35p
0.007107,p35p
0.001866,p35p
0.000965,p35p
0.001936,p35p
0.000622,p35p
0.000626,p35p
0.000789,p35p
0.000650,p35p
0.001273,p35p
0.000942,p35p
0.001405,p35p
0.001865,p35p
0.001415,p35p
0.001499,p35p
0.001301,p35p
0.001297,p35p
0.000988,p4p
0.001439,p4p
0.001530,p4p
0.001315,p4p
0.001219,p4p
0.000683,p4p
0.000839,p4p
0.003012,p4p
0.003563,p4p
0.002808,p4p
0.000470,p4p
0.004547,p4p
0.006377,p4p
0.002265,p4p
0.001352,p4p
0.000885,p4p
0.000595,p4p
0.001311,p4p
0.002585,p4p
0.003883,p4p
0.092757,p4p
0.054558,p4p
0.005847,p4p
0.001914,p4p
0.001007,p4p
0.002069,p4p
0.000711,p4p
0.000757,p4p
0.000757,p4p
0.000614,p4p
0.000886,p4p
0.000669,p4p
0.000927,p4p
0.001632,p4p
0.001355,p4p
0.001444,p4p
0.001263,p4p
0.001651,p4p
