R,t,algo
0.152384,0.035908,p35p
79.373926,1.104302,p35p
29.118146,0.357700,p35p
23.412673,0.400492,p35p
27.522050,0.409032,p35p
0.308226,0.024502,p35p
0.137451,0.020245,p35p
0.193136,0.025458,p35p
0.125716,0.025811,p35p
0.161782,0.027647,p35p
0.070675,0.028483,p35p
0.088063,0.034768,p35p
0.159763,0.032593,p35p
0.174591,0.019605,p35p
0.056982,0.017247,p35p
0.066027,0.015852,p35p
0.104363,0.021027,p35p
0.149515,0.024081,p35p
0.129967,0.029750,p35p
0.110849,0.033700,p35p
0.141614,0.040977,p35p
0.124909,0.036735,p35p
0.075519,0.043786,p35p
0.150516,0.035591,p4p
79.371780,1.104281,p4p
29.114315,0.357523,p4p
23.426322,0.401266,p4p
27.535064,0.410000,p4p
0.319209,0.024467,p4p
0.132250,0.020369,p4p
0.197279,0.025585,p4p
0.128788,0.025868,p4p
0.152457,0.027924,p4p
0.077564,0.028831,p4p
0.072419,0.035255,p4p
0.136620,0.033035,p4p
0.181350,0.019753,p4p
0.059240,0.017035,p4p
0.070025,0.015375,p4p
0.091896,0.020468,p4p
0.146086,0.023596,p4p
0.130024,0.029311,p4p
0.109267,0.033489,p4p
0.143202,0.040599,p4p
0.123860,0.036182,p4p
0.082500,0.043305,p4p
0.159742,0.036214,real
79.383758,1.103947,real
29.127668,0.358041,real
23.418508,0.400700,real
27.521866,0.409083,real
0.296203,0.025424,real
0.126477,0.020760,real
0.183009,0.025374,real
0.137381,0.025486,real
0.092761,0.027321,real
0.056619,0.027936,real
0.056694,0.034445,real
0.164913,0.032617,real
0.142726,0.020246,real
0.055834,0.016862,real
0.098602,0.015217,real
0.100239,0.020505,real
0.161100,0.023790,real
0.135758,0.029942,real
0.120623,0.034039,real
0.151357,0.040917,real
0.127629,0.036482,real
0.066720,0.043675,real
