f,algo
0.005111,p35p
0.003151,p35p
0.005279,p35p
0.004892,p35p
0.004118,p35p
0.002425,p35p
0.006076,p35p
0.003191,p35p
0.003350,p35p
0.003664,p35p
0.003685,p35p
0.003771,p35p
0.003719,p35p
0.006816,p35p
0.005742,p35p
0.007583,p35p
0.006947,p35p
0.007130,p35p
0.004951,p35p
0.004902,p35p
0.004003,p35p
0.004814,p35p
0.005242,p35p
0.005296,p4p
0.003318,p4p
0.005390,p4p
0.005235,p4p
0.004323,p4p
0.002368,p4p
0.006013,p4p
0.003135,p4p
0.003424,p4p
0.003757,p4p
0.003767,p4p
0.003843,p4p
0.003795,p4p
0.006924,p4p
0.005938,p4p
0.007850,p4p
0.007198,p4p
0.007354,p4p
0.005130,p4p
0.005091,p4p
0.004173,p4p
0.004904,p4p
0.005397,p4p
0.005129,real
0.003084,real
0.005295,real
0.004882,real
0.004104,real
0.002211,real
0.006157,real
0.003409,real
0.003613,real
0.003777,real
0.003827,real
0.003890,real
0.003832,real
0.006655,real
0.005910,real
0.007812,real
0.007139,real
0.007287,real
0.005019,real
0.004944,real
0.004060,real
0.004767,real
0.005267,real
