f,algo
0.005240,p35p
0.003305,p35p
0.005375,p35p
0.005215,p35p
0.004292,p35p
0.002468,p35p
0.006144,p35p
0.003188,p35p
0.003387,p35p
0.003699,p35p
0.003696,p35p
0.003798,p35p
0.003757,p35p
0.006888,p35p
0.005888,p35p
0.007774,p35p
0.007142,p35p
0.007309,p35p
0.005148,p35p
0.005020,p35p
0.004114,p35p
0.004877,p35p
0.005377,p35p
0.005296,p4p
0.003308,p4p
0.005413,p4p
0.005241,p4p
0.004301,p4p
0.002315,p4p
0.005988,p4p
0.003116,p4p
0.003370,p4p
0.003751,p4p
0.003740,p4p
0.003821,p4p
0.003779,p4p
0.006914,p4p
0.005901,p4p
0.007793,p4p
0.007158,p4p
0.007328,p4p
0.005135,p4p
0.005067,p4p
0.004148,p4p
0.004913,p4p
0.005359,p4p
0.005129,real
0.003084,real
0.005295,real
0.004882,real
0.004104,real
0.002211,real
0.006157,real
0.003409,real
0.003613,real
0.003777,real
0.003827,real
0.003890,real
0.003832,real
0.006655,real
0.005910,real
0.007812,real
0.007139,real
0.007287,real
0.005019,real
0.004944,real
0.004060,real
0.004767,real
0.005267,real
