R,t,algo
0.150236,0.035518,p35p
79.367404,1.104411,p35p
29.113950,0.357438,p35p
23.426542,0.401183,p35p
27.536737,0.409930,p35p
0.312868,0.024550,p35p
0.187107,0.020188,p35p
0.148943,0.025477,p35p
0.187723,0.025918,p35p
0.094374,0.027850,p35p
0.117654,0.028703,p35p
0.074882,0.035061,p35p
0.153109,0.032955,p35p
0.160794,0.019781,p35p
0.065912,0.017108,p35p
0.082236,0.015526,p35p
0.098259,0.020582,p35p
0.149572,0.023640,p35p
0.129638,0.029279,p35p
0.108095,0.033349,p35p
0.142989,0.040969,p35p
0.123301,0.036427,p35p
0.082718,0.043452,p35p
0.152436,0.035475,p4p
79.361288,1.104054,p4p
29.120470,0.357740,p4p
23.434997,0.401593,p4p
27.545917,0.410405,p4p
0.300761,0.024360,p4p
0.119359,0.020346,p4p
0.196690,0.025521,p4p
0.146500,0.025932,p4p
0.160007,0.027927,p4p
0.037289,0.028794,p4p
0.097873,0.035180,p4p
0.165901,0.032959,p4p
0.161567,0.019597,p4p
0.062334,0.016965,p4p
0.086631,0.015367,p4p
0.104343,0.020406,p4p
0.153980,0.023475,p4p
0.130628,0.029101,p4p
0.111452,0.033339,p4p
0.143567,0.040649,p4p
0.122587,0.035904,p4p
0.074478,0.043572,p4p
0.154016,0.035445,real
79.366584,1.104496,real
29.119384,0.357476,real
23.432052,0.401250,real
27.540450,0.410083,real
0.314973,0.024770,real
0.184526,0.020301,real
0.190804,0.025446,real
0.206191,0.025751,real
0.166215,0.027657,real
0.079713,0.028511,real
0.072241,0.034922,real
0.182221,0.033063,real
0.183759,0.020677,real
0.066557,0.016860,real
0.106975,0.015202,real
0.101268,0.020303,real
0.152844,0.023369,real
0.131710,0.029113,real
0.113082,0.033272,real
0.146067,0.040917,real
0.126096,0.036294,real
0.078281,0.043409,real
