R,t,algo
0.187917,0.070455,p35p
1.145695,3.198523,p35p
0.882796,1.127735,p35p
1.675364,1.078860,p35p
0.704540,1.109233,p35p
0.027506,0.021707,p35p
0.057168,0.011380,p35p
0.063367,0.018695,p35p
0.136524,0.020668,p35p
0.153997,0.028376,p35p
0.129938,0.037100,p35p
0.162518,0.043565,p35p
0.149692,0.054562,p35p
0.207876,0.066026,p35p
0.199998,0.082623,p35p
0.226465,0.094098,p35p
0.196757,0.117962,p35p
0.255818,0.081213,p35p
0.235574,0.031797,p35p
0.242762,0.021934,p35p
0.241517,0.015512,p35p
0.224568,0.011836,p35p
0.211927,0.014915,p35p
0.245147,0.024115,p35p
0.238892,0.047050,p35p
0.253922,0.037714,p35p
0.244575,0.032286,p35p
0.261428,0.029075,p35p
0.262412,0.021214,p35p
0.255863,0.019740,p35p
0.257009,0.043589,p35p
0.284011,0.042318,p35p
0.287836,0.043309,p35p
0.230111,0.042828,p35p
0.254263,0.043858,p35p
0.253816,0.048839,p35p
0.215698,0.046022,p35p
0.236789,0.041403,p35p
0.235747,0.040833,p35p
0.222532,0.042429,p35p
0.239845,0.044558,p35p
0.230966,0.053216,p35p
0.189895,0.065285,real
1.151468,3.197701,real
0.883545,1.126073,real
1.675546,1.077313,real
0.700801,1.109419,real
0.024941,0.018261,real
0.050927,0.017596,real
0.054751,0.029661,real
0.131329,0.033628,real
0.150560,0.034698,real
0.130127,0.041782,real
0.171479,0.043978,real
0.170701,0.052510,real
0.219884,0.061515,real
0.205398,0.068051,real
0.213180,0.076598,real
0.184506,0.077951,real
0.214600,0.087646,real
0.221457,0.028053,real
0.236651,0.020224,real
0.240014,0.015259,real
0.248969,0.011854,real
0.197749,0.012401,real
0.241362,0.018420,real
0.210690,0.039111,real
0.260511,0.029747,real
0.256847,0.023763,real
0.262724,0.021524,real
0.253030,0.015240,real
0.255611,0.017772,real
0.257963,0.045697,real
0.260731,0.043227,real
0.289935,0.041947,real
0.255396,0.040208,real
0.264259,0.040779,real
0.257483,0.043713,real
0.212665,0.043352,real
0.241783,0.040912,real
0.248806,0.041035,real
0.225355,0.042290,real
0.236222,0.042842,real
0.243594,0.049450,real
