f,algo
45.369383,p35p
53.163278,p35p
43.606259,p35p
61.556672,p35p
54.911188,p35p
37.447354,p35p
39.555578,p35p
38.798818,p35p
23.296469,p35p
14.147806,p35p
9.796324,p35p
64.711789,p35p
63.522819,p35p
118.918855,p35p
0.007729,real
0.006368,real
0.003275,real
0.002815,real
0.002843,real
0.005133,real
0.002847,real
0.002754,real
0.003457,real
0.002723,real
0.002998,real
0.002704,real
0.002777,real
0.002944,real
0.003084,real
0.003240,real
0.003524,real
0.003777,real
0.002983,real
0.002868,real
0.002812,real
0.002839,real
0.002874,real
0.002947,real
0.003024,real
0.003404,real
0.003320,real
0.003454,real
0.003353,real
0.003461,real
0.003795,real
0.003654,real
0.003622,real
0.003665,real
0.003652,real
0.003450,real
0.002987,real
0.002842,real
0.002795,real
0.002619,real
0.002791,real
0.002782,real
