R,t,algo
22.458138,6.856309,p35p
24.379130,3.322730,p35p
23.981032,3.394122,p35p
25.204337,3.014646,p35p
25.413636,3.571701,p35p
23.382803,4.284787,p35p
21.441684,4.588971,p35p
17.854031,5.039701,p35p
12.305419,5.422999,p35p
11.626540,5.898172,p35p
22.602879,6.485489,p35p
66.443707,9.538327,p35p
58.803366,8.737432,p35p
57.113052,23.294119,p35p
18.043185,5.810290,p4p
19.763334,2.413413,p4p
19.380051,2.205851,p4p
20.719681,2.441075,p4p
20.430426,2.982931,p4p
13.381559,3.704920,p4p
9.095571,4.498209,p4p
3.462281,5.293543,p4p
17.953177,6.110232,p4p
41.094389,6.988389,p4p
73.097085,30.349227,p4p
0.189153,0.066284,real
1.150322,3.198095,real
0.883388,1.126630,real
1.675981,1.077524,real
0.701728,1.109246,real
0.024191,0.018058,real
0.051096,0.016920,real
0.055384,0.029094,real
0.131631,0.033238,real
0.151185,0.034667,real
0.130987,0.041789,real
0.172165,0.044175,real
0.171108,0.052413,real
0.218887,0.060591,real
0.204196,0.067047,real
0.217217,0.075183,real
0.189479,0.075257,real
0.221386,0.080803,real
0.238952,0.028836,real
0.224992,0.021049,real
0.240997,0.015922,real
0.237196,0.012232,real
0.207811,0.012397,real
0.241734,0.017532,real
0.216499,0.039459,real
0.233209,0.030254,real
0.255094,0.024323,real
0.263046,0.022116,real
0.270144,0.016484,real
0.261955,0.019184,real
0.263673,0.046369,real
0.279719,0.043949,real
0.284116,0.042756,real
0.241544,0.041052,real
0.277127,0.041719,real
0.258114,0.044700,real
0.219347,0.043570,real
0.252177,0.040922,real
0.247071,0.040996,real
0.225467,0.041748,real
0.237549,0.042332,real
0.221309,0.048816,real
