algorithm,df
p35pf_double,6.2711e-13
p35pf_double,4.63242e-14
p35pf_double,3.39303e-13
p35pf_double,6.62692e-14
p35pf_double,2.36132e-14
p35pf_double,5.83148e-11
p35pf_double,3.44419e-07
p35pf_double,1.41957e-16
p35pf_double,1.5945e-14
p35pf_double,4.53179e-15
p35pf_double,2.45896e-14
p35pf_double,2.93509e-15
p35pf_double,1.50518e-14
p35pf_double,1.81068e-14
p35pf_double,3.03869e-15
p35pf_double,2.0653e-15
p35pf_double,2.90718e-14
p35pf_double,1.05113e-15
p35pf_double,2.38325e-14
p35pf_double,8.49491e-15
p35pf_double,3.26815e-13
p35pf_double,1.7239e-15
p35pf_double,1.8614e-14
p35pf_double,1.20225e-15
p35pf_double,1.13043e-14
p35pf_double,2.96009e-13
p35pf_double,1.50239e-15
p35pf_double,8.35405e-14
p35pf_double,1.51903e-15
p35pf_double,1.77393e-14
p35pf_double,3.68014e-15
p35pf_double,1.63727e-15
p35pf_double,2.16949e-15
p35pf_double,4.58973e-14
p35pf_double,2.75775e-15
p35pf_double,2.10593e-15
p35pf_double,9.17118e-15
p35pf_double,1.93922e-15
p35pf_double,8.76187e-16
p35pf_double,1.52846e-14
p35pf_double,5.23828e-14
p35pf_double,6.23531e-12
p35pf_double,1.05037e-13
p35pf_double,1.26455e-13
p35pf_double,7.75483e-15
p35pf_double,1.09412e-13
p35pf_double,1.01024e-09
p35pf_double,9.90027e-16
p35pf_double,6.60343e-16
p35pf_double,9.87111e-12
p35pf_double,1.45037e-15
p35pf_double,7.23894e-15
p35pf_double,3.30635e-15
p35pf_double,7.22738e-14
p35pf_double,1.13222e-15
p35pf_double,3.12355e-14
p35pf_double,9.174e-15
p35pf_double,3.48855e-13
p35pf_double,1.30258e-14
p35pf_double,1.33392e-15
p35pf_double,1.50491e-13
p35pf_double,1.65041e-14
p35pf_double,2.99929e-13
p35pf_double,1.02872e-09
p35pf_double,2.53438e-14
p35pf_double,7.59512e-15
p35pf_double,3.17997e-14
p35pf_double,8.84351e-15
p35pf_double,1.52725e-15
p35pf_double,1.51415e-14
p35pf_double,5.73415e-15
p35pf_double,3.72044e-15
p35pf_double,6.17231e-11
p35pf_double,2.28009e-13
p35pf_double,3.54646e-15
p35pf_double,7.24853e-14
p35pf_double,3.24645e-13
p35pf_double,1.64932e-12
p35pf_double,2.30174e-16
p35pf_double,1.01447e-13
p35pf_double,7.71376e-14
p35pf_double,1.12796e-15
p35pf_double,1.52045e-13
p35pf_double,8.73029e-13
p35pf_double,3.67313e-15
p35pf_double,1.59046e-14
p35pf_double,0
p35pf_double,4.34729e-13
p35pf_double,6.14196e-12
p35pf_double,7.31767e-14
p35pf_double,2.27028e-14
p35pf_double,1.94945e-13
p35pf_double,2.35074e-12
p35pf_double,1.46515e-14
p35pf_double,1.56058e-14
p35pf_double,1.339e-13
p35pf_double,2.18467e-16
p35pf_double,1.04567e-15
p35pf_double,7.41481e-15
p35pf_double,3.00768e-11
p35pf_double,2.66021e-15
p35pf_double,2.9451e-14
p35pf_double,6.99731e-16
p35pf_double,5.56853e-14
p35pf_double,1.58693e-15
p35pf_double,3.24309e-14
p35pf_double,3.70194e-13
p35pf_double,2.2289e-13
p35pf_double,3.46594e-15
p35pf_double,4.62764e-15
p35pf_double,6.49405e-15
p35pf_double,8.56857e-15
p35pf_double,3.0298e-15
p35pf_double,5.64553e-16
p35pf_double,6.90799e-13
p35pf_double,1.12674e-15
p35pf_double,1.11392e-13
p35pf_double,1.06148e-15
p35pf_double,3.72076e-13
p35pf_double,7.31098e-14
p35pf_double,2.15675e-15
p35pf_double,3.99298e-15
p35pf_double,4.90673e-14
p35pf_double,2.70712e-13
p35pf_double,1.4362e-14
