dF,dR,dC,dt,N
0.00014058,2.2493e-05,0.0020724,0.002324,1
2.9395e-06,3.992e-07,3.4635e-05,0.002608,1
2.7341e-06,3.0515e-06,7.3409e-05,0.00185,1
6.8269e-05,2.8243e-05,0.00082025,0.001275,1
6.7947e-05,0.00019157,0.0065227,0.001292,1
0.11786,0.66668,17.406,0.001661,1
0.0010569,6.1468e-05,0.0080197,0.001056,3
1.0413e-05,1.4542e-06,0.00010205,0.001026,1
8.9238e-06,2.2676e-06,9.4564e-05,0.001138,1
0.013755,0.0040684,0.12869,0.00102,1
4.6814e-05,9.0627e-05,0.0027503,0.000753,1
7.1256e-06,1.7213e-06,0.00013929,0.000774,1
2.8265e-05,1.9431e-05,0.00062954,0.000742,1
0.0053127,0.0045584,0.23749,0.00106,1
0.00012103,0.00023304,0.0034531,0.000699,1
8.1513e-06,1.78e-06,0.00015722,0.000759,1
4.0361e-06,2.0162e-06,0.00010133,0.000798,1
0.0011076,0.0045618,0.083166,0.000822,1
3.4141e-06,4.5748e-06,0.00027782,0.000725,1
0.00027151,5.0815e-05,0.0058053,0.000971,1
8.2527e-07,7.7304e-07,2.5393e-05,0.001005,1
2.2785e-06,3.9142e-07,2.533e-05,0.001358,2
1.0411e-05,1.0891e-06,9.1869e-05,0.00151,2
0.00073708,0.00020191,0.005917,0.000968,1
7.6637e-06,2.1266e-06,0.00011249,0.000736,2
8.7811e-06,7.2e-06,0.00037924,0.000944,1
0.00014992,8.5302e-05,0.0041199,0.001049,1
1.3458e-06,3.9359e-07,2.8421e-05,0.000947,1
0.015274,0.0027438,0.15156,0.000649,1
1.2382e-05,3.5657e-06,7.806e-05,0.000961,1
6.2593e-06,1.2279e-06,7.9448e-05,0.000692,1
2.9443e-05,7.2543e-06,0.00077596,0.00069,1
7.6669e-05,2.2649e-05,0.0014813,0.000965,1
0.00081955,0.00018667,0.017441,0.000939,1
0.00011888,8.941e-05,0.0025831,0.001278,1
0.0031696,0.00044621,0.028828,0.000749,1
7.1817e-05,1.2078e-05,0.0013186,0.000697,2
1.369e-07,5.1531e-06,7.3972e-05,0.001063,1
5.4061e-05,7.4263e-06,0.00044552,0.000929,1
1.7481e-05,1.6469e-06,0.00014891,0.00098,1
9.0354e-06,7.3258e-06,0.00024442,0.00127,1
0.02462,0.010055,0.44946,0.000992,2
4.604e-06,2.3435e-06,0.00010937,0.000976,1
2.1775e-05,4.7933e-06,0.0002298,0.000982,1
6.8428e-06,3.1207e-07,8.5577e-05,0.000706,2
0.00015946,5.7421e-05,0.0030852,0.000965,1
3.5422e-06,1.1324e-06,3.9148e-05,0.00069,1
0.0018797,0.00017769,0.017056,0.001451,1
9.8114e-05,3.7885e-05,0.0018471,0.001017,1
5.2988e-06,0.00030975,0.0099714,0.001234,1
7.5803e-05,2.7621e-05,0.00079324,0.001222,1
1.0867e-07,2.8808e-07,1.0321e-05,0.001178,2
1.7019e-05,2.6509e-05,0.00097945,0.000939,2
1.1607e-06,3.3718e-07,1.5138e-05,0.000691,1
1.1925e-06,1.5778e-06,3.1257e-05,0.000705,1
6.3558e-06,1.5986e-06,0.0001133,0.000951,1
2.4074,0.66937,51.722,0.001213,1
0.0009882,0.00034496,0.016193,0.000731,1
0.002096,0.00056304,0.020277,0.000747,1
2.652e-06,9.1237e-07,2.4667e-05,0.00099,2
2.2838e-05,2.181e-06,0.00028224,0.000726,1
1.2403e-05,1.8374e-06,0.00014126,0.001201,1
1.3094e-05,8.9312e-07,0.0001621,0.000706,1
9.9043e-08,6.6687e-07,1.2775e-05,0.000721,1
1.7351e-05,5.773e-06,0.00011182,0.000932,1
0.00015312,5.5284e-06,0.0019376,0.000648,1
5.4354e-07,2.1926e-06,5.2219e-05,0.000967,1
0.0034208,0.003371,0.07169,0.000986,1
0.00018102,0.00041006,0.011273,0.001345,1
2.4967e-06,7.4385e-07,2.1798e-05,0.000965,1
0.020827,0.0091106,0.57035,0.000702,1
6.2212e-05,0.00029652,0.0087676,0.000687,1
