std0.0,std0.5,std1.0,std1.5
4.6505e-13,0.0069869,-1,-1
6.8732e-14,0.076446,-1,0.024512
1.7432e-15,0.016737,0.011748,-1
1.0207e-14,0.0019245,0.0021591,0.16581
2.4303e-13,0.014355,0.0043597,0.0046494
2.006e-12,0.0052087,0.057186,10.378
2.2337e-09,0.10807,0.002679,0.03297
1.1217e-11,0.44307,1.2523,0.012747
2.3666e-15,0.083679,-1,0.82831
9.2727e-15,0.0035848,0.031707,0.0969
1.2501e-13,0.026276,0.0013992,57.086
1.8275e-13,0.08678,-1,-1
2.0102e-14,0.0018515,0.026933,-1
4.045e-13,0.02908,0.012079,0.00086329
7.0075e-12,0.025015,0.0075014,0.017328
3.155e-15,0.022936,0.11977,-1
4.5075e-13,0.026598,0.11414,0.015931
5.0259e-14,0.0015636,0.057366,0.012322
2.9008e-14,0.0010486,0.064342,0.061294
3.3705e-15,0.0015374,0.042802,0.0039525
1.7389e-14,0.012867,-1,0.016548
1.4959e-15,-1,0.12941,0.07523
2.6386e-15,0.096064,-1,-1
4.7229e-14,0.012634,0.078652,0.23476
8.063e-15,0.0074999,-1,-1
6.2064e-14,0.03999,0.013281,0.10096
8.8458e-14,0.011747,0.025541,0.026146
1.0337e-14,0.0004659,-1,-1
5.4784e-13,-1,-1,-1
4.0809e-15,0.0053775,0.0042264,0.12355
1.8626e-14,0.011523,0.00067311,0.25045
3.1489e-13,0.0004946,-1,0.011739
2.225e-12,0.0189,-1,10.862
4.1604e-14,0.050591,0.062715,-1
2.5646e-15,0.1122,-1,0.1625
2.6926e-14,0.017248,-1,0.0037651
1.5686e-13,0.0050792,0.19796,-1
1.4169e-12,0.009864,-1,0.11828
1.104e-11,-1,0.00077469,0.055732
2.2108e-14,0.14223,0.0090714,-1
5.036e-12,-1,0.094863,0.04652
2.2671e-14,0.1573,0.015605,-1
2.3243e-11,0.0062259,-1,0.021585
1.4336e-15,-1,-1,-1
6.0763e-16,0.025619,-1,0.10118
4.001e-13,0.017196,0.060336,0.020155
1.3862e-13,0.004417,0.0024479,0.063156
4.6137e-10,0.076381,0.21585,0.018685
1.0243e-11,0.046711,0.008737,-1
2.3527e-14,0.0096617,-1,0.035534
1.7144e-11,0.0011323,0.0012655,0.049335
1.7798e-14,0.01076,0.13545,0.014057
7.59e-13,0.012885,0.092361,0.020125
2.5969e-12,0.40084,0.17953,0.00049475
2.7967e-16,0.002873,-1,-1
6.8868e-14,0.03179,7.2971,0.14842
9.3381e-15,0.0071008,0.024264,0.21732
8.4518e-11,0.007127,0.0043374,0.03015
3.3861e-12,0.00193,-1,0.0032054
1.0904e-12,0.0026697,0.030015,-1
2.0376e-11,0.026621,0.78505,0.4147
0.01928,0.0080228,0.036052,0.050666
1.5392e-12,0.014897,0.13845,0.94255
