dF,dR,dC,dt,N
7.7066e-06,2.8043e-06,0.00036474,0.001023,1
1.9496e-05,1.1746e-06,0.00016309,0.000694,1
1.5778e-05,2.1656e-06,0.00014898,0.000858,1
2.0948e-05,4.8007e-06,0.00032202,0.000649,1
8.0902e-05,2.5008e-05,0.0048255,0.000744,1
1.8533e-05,2.5214e-06,0.00034545,0.000923,1
2.638e-06,1.049e-06,5.4803e-05,0.000639,1
3.1406e-06,3.363e-07,8.0905e-05,0.000694,1
1.601e-05,2.1281e-07,0.00030629,0.000612,1
1.9442e-05,2.2607e-05,0.00029315,0.000697,1
2.003e-05,1.3553e-06,0.00028727,0.000254,1
1.4796e-05,1.1004e-06,0.00016846,0.000705,1
2.7315e-05,1.2626e-06,0.00027693,0.000261,1
8.8919e-05,6.6746e-06,0.001115,0.000261,1
1.487e-05,2.4919e-07,0.00013537,0.000699,1
5.104e-06,5.4653e-07,8.7339e-05,0.000148,1
3.23e-05,6.3305e-06,0.00035951,0.000133,1
2.537e-05,4.1938e-07,0.00045504,0.000236,1
3.3921e-05,1.316e-07,0.0005344,0.000959,1
1.0244e-05,4.1053e-07,8.8223e-05,0.000161,1
3.0436e-05,2.3899e-06,0.00059418,0.000258,1
8.0738e-06,1.0292e-07,0.00011171,0.001161,1
6.8909e-05,8.8784e-06,0.00062425,0.00016,1
9.0164e-07,1.3428e-06,0.00011345,0.000257,1
4.2202e-06,6.2918e-07,4.0753e-05,0.001004,1
2.3124e-06,3.1006e-06,0.00012175,0.000252,1
0.00024578,9.3267e-07,0.0036727,0.00107,1
1.6252e-05,9.3602e-07,7.2073e-05,0.000149,1
0.0010482,0.00018348,0.033651,0.000154,1
1.4405e-06,1.0615e-06,1.2539e-05,0.000743,1
4.2738e-05,8.4562e-07,0.00053897,0.000159,1
1.6569e-05,8.1898e-06,0.00032847,0.000138,1
5.5915e-06,7.0005e-07,6.1384e-05,0.001224,1
1.4431e-05,1.0996e-06,0.00021459,0.001086,1
6.9195e-05,9.4362e-07,0.0010129,0.000265,1
9.3509e-06,5.9175e-07,0.00010393,0.000251,1
0.0001288,1.5377e-05,0.0019342,0.001086,1
6.2419e-06,4.2934e-07,0.00018754,0.000151,1
2.2251e-05,2.5877e-06,0.00027152,0.000686,1
0.00020954,1.1182e-05,0.002303,0.000155,1
9.3544e-05,4.4092e-06,0.0012429,0.00015,1
2.3277e-05,2.3922e-06,0.00042403,0.000756,1
3.6122e-06,3.4177e-07,4.7222e-05,0.000151,1
7.5924e-06,1.9199e-07,5.563e-05,0.001152,1
0.00015103,3.0796e-06,0.0048553,0.001035,1
3.4938e-05,5.673e-07,0.00041693,0.000157,1
9.671e-05,1.0641e-05,0.0012626,0.000151,1
5.8657e-05,1.8103e-06,0.00085801,0.000155,1
4.7809e-05,2.5781e-06,0.00073709,0.000159,1
0.00011991,8.1826e-06,0.0027635,0.000152,1
3.5253e-05,2.009e-06,0.00041465,0.001025,1
5.43e-05,5.6961e-06,0.0010898,0.00015,1
0.00010647,6.3384e-07,0.0019707,0.000159,1
1.959e-05,2.8445e-07,0.00027486,0.000152,1
3.084e-06,5.0555e-07,6.0576e-05,0.000144,1
3.3997e-07,7.7332e-08,3.6972e-06,0.000148,1
2.6342e-06,4.251e-07,2.7889e-05,0.000233,1
6.6301e-06,2.342e-07,0.0001028,0.001045,1
5.1436e-06,4.3241e-07,4.8621e-05,0.000147,1
5.2732e-05,1.0634e-06,0.00066075,0.000148,1
